"","ColoRect-AdenoCA_cluster_1","ColoRect-AdenoCA_cluster_2","ColoRect-AdenoCA_cluster_3","ColoRect-AdenoCA_cluster_4","ColoRect-AdenoCA_cluster_5","ColoRect-AdenoCA_cluster_6","ColoRect-AdenoCA_cluster_7","ColoRect-AdenoCA_cluster_8","ColoRect-AdenoCA_cluster_9","ColoRect-AdenoCA_clusters_6_8_9","Panc-AdenoCA_cluster_1","Panc-AdenoCA_cluster_2","Panc-AdenoCA_cluster_3","Panc-AdenoCA_cluster_4","Panc-AdenoCA_cluster_5","Panc-AdenoCA_cluster_6","Panc-AdenoCA_cluster_7","Panc-AdenoCA_cluster_8","Panc-AdenoCA_cluster_9"
"chr11.27",429,3294,32,87,58,2,9,7,10,19,142,103,75,52,26,8,120,38,0
"chr11.28",292,2275,10,36,30,1,9,3,4,8,61,96,46,39,26,6,81,17,0
"chr11.29",399,2912,39,65,48,1,4,8,8,17,111,96,81,60,31,6,91,24,0
"chr11.30",527,4317,69,105,79,3,8,11,7,21,216,185,178,94,31,9,127,52,0
"chr11.31",549,3754,49,96,63,3,9,8,7,18,178,140,110,117,36,4,141,43,0
"chr11.32",384,2808,34,64,37,0,13,7,7,14,150,102,91,89,22,5,108,34,0
"chr11.33",395,2536,24,55,30,1,7,14,10,25,118,133,86,54,31,6,102,21,0
"chr11.34",307,2127,13,32,17,2,8,4,8,14,68,73,56,33,27,6,70,17,0
"chr11.35",228,1623,12,38,15,1,8,3,5,9,66,53,48,46,55,0,78,27,0
"chr11.36",275,2133,16,32,20,3,5,7,11,21,67,71,60,43,22,2,67,31,0
"chr11.37",278,1986,25,51,28,2,8,5,4,11,117,123,61,60,26,6,97,22,0
"chr11.38",587,3766,54,123,70,8,4,7,18,33,270,175,146,105,33,8,158,46,0
"chr11.39",661,4509,72,127,86,4,8,9,15,28,160,122,87,85,38,5,127,28,0
"chr11.40",785,4581,58,123,89,7,15,5,15,27,163,101,89,78,33,4,129,32,0
"chr11.41",739,4856,66,145,94,8,16,3,7,18,265,169,142,111,42,10,181,42,0
"chr11.42",672,4720,56,113,101,6,11,8,10,24,301,243,187,165,56,15,187,54,0
"chr11.43",616,4143,44,117,81,3,11,8,17,28,326,237,203,186,47,17,208,42,0
"chr11.44",394,2482,19,49,46,2,9,6,10,18,138,131,84,70,28,5,88,23,0
"chr11.45",337,1939,25,42,28,3,5,4,3,10,73,79,54,42,27,2,76,23,0
"chr11.46",324,1874,16,38,24,2,8,5,3,10,68,86,64,53,28,1,93,28,0
"chr11.47",224,1319,12,34,13,1,8,5,2,8,66,58,31,37,22,6,56,34,0
"chr11.53",508,3324,27,64,56,1,8,16,7,24,213,178,124,123,45,10,148,54,0
"chr11.54",284,1740,19,48,15,3,9,4,4,11,75,69,59,43,15,0,73,23,0
"chr11.55",293,2445,11,45,27,3,8,8,4,15,79,98,56,53,20,2,91,26,0
"chr11.56",310,2211,14,39,17,2,9,9,5,16,61,67,63,47,26,2,70,25,0
"chr11.57",323,2468,24,40,35,2,8,8,8,18,65,61,47,36,19,2,92,22,0
"chr11.61",200,956,18,30,21,2,6,5,3,10,54,77,53,70,23,0,93,26,0
"chr11.62",173,1058,13,24,10,1,17,7,4,12,73,67,60,44,17,7,69,26,0
"chr11.69",245,1482,13,29,21,3,7,3,8,14,54,87,47,40,22,3,77,26,0
"chr11.70",222,1372,8,23,16,2,9,6,3,11,41,59,34,46,19,5,54,13,0
"chr11.71",222,1471,16,35,18,0,9,4,2,6,42,58,41,30,26,0,55,16,1
"chr11.72",216,1492,15,19,24,1,3,3,3,7,43,68,48,38,21,1,61,26,0
"chr11.73",207,1504,12,27,17,1,3,5,4,10,65,65,46,41,26,2,80,21,0
"chr11.74",210,1494,12,26,11,0,8,3,2,5,40,67,28,34,17,2,75,23,0
"chr11.75",257,1720,15,32,29,3,4,4,5,12,80,89,37,39,26,3,64,21,0
"chr11.76",480,3273,22,77,45,5,6,7,3,15,120,132,81,96,26,6,119,29,0
"chr11.77",391,3402,24,101,54,2,7,6,4,12,115,108,82,62,31,6,109,35,0
"chr11.78",437,3804,40,98,73,4,7,12,6,22,217,180,126,120,43,7,107,42,0
"chr11.79",455,3219,46,100,72,5,13,7,8,20,189,128,100,92,39,12,103,43,0
"chr11.80",339,2769,16,45,35,5,8,4,7,16,93,91,65,46,33,4,92,41,0
"chr11.82",309,2594,15,38,22,0,9,5,5,10,124,122,83,81,27,17,94,37,0
"chr11.83",271,1977,12,32,11,0,9,9,3,12,72,67,53,26,24,2,66,17,0
"chr11.84",297,2650,25,39,30,3,7,3,5,11,85,87,67,55,29,4,95,27,0
"chr11.88",546,3733,61,107,77,7,20,9,7,23,182,137,108,88,24,8,134,17,0
"chr11.89",449,3196,30,78,67,8,4,16,7,31,147,140,97,79,28,8,126,32,0
"chr11.90",317,2318,9,37,20,1,6,7,6,14,76,58,48,40,26,2,62,16,0
"chr11.91",379,2329,17,51,26,2,7,5,9,16,65,69,25,38,32,2,61,22,0
"chr11.92",328,2458,15,34,22,1,8,8,3,12,85,100,44,32,20,1,75,20,0
"chr11.94",563,3843,45,114,60,8,13,14,7,29,279,229,168,192,64,12,196,61,0
"chr11.95",722,5154,88,147,108,10,17,14,12,36,378,283,225,205,68,16,199,62,0
"chr11.96",661,5196,69,165,75,3,14,10,9,22,373,225,200,158,52,24,163,52,0
"chr11.97",424,3462,30,90,65,2,9,7,10,19,130,124,80,79,30,11,123,28,0
"chr11.98",351,2801,21,63,44,3,5,6,8,17,119,127,101,69,23,5,88,33,0
"chr11.99",252,2090,16,26,14,2,10,6,6,14,54,69,53,49,22,3,86,16,0
"chr11.100",381,2836,20,57,33,4,10,9,9,22,69,79,50,47,18,2,64,20,0
"chr11.101",578,3633,38,88,74,4,9,15,8,27,128,95,77,49,25,9,90,32,0
"chr11.102",356,3038,30,48,47,0,8,6,8,14,116,108,83,62,28,13,93,25,0
"chr11.103",539,3655,42,98,71,8,5,8,8,24,143,124,91,62,29,2,123,24,0
"chr11.104",455,2940,26,68,58,3,10,14,8,25,117,176,81,78,31,10,96,36,0
"chr11.106",473,3110,29,70,50,2,10,12,12,26,176,166,98,96,39,6,100,26,0
"chr11.107",393,2820,19,44,44,3,7,8,4,15,96,93,76,71,27,4,70,32,0
"chr11.108",306,2599,16,38,23,7,7,6,7,20,91,76,42,35,18,4,62,15,0
"chr11.109",281,1992,16,31,27,5,6,6,4,15,70,81,54,59,26,6,57,26,0
"chr11.110",380,2476,15,51,25,2,13,3,6,11,124,125,89,85,23,9,86,43,0
"chr11.111",331,2125,11,41,21,1,3,4,7,12,113,114,71,76,32,6,85,28,0
"chr11.112",412,2795,20,66,36,0,8,10,4,14,233,182,133,137,23,11,139,52,1
"chr11.113",405,2325,19,45,33,2,6,8,8,18,120,165,101,86,18,6,125,39,0
"chr11.114",283,1630,15,29,18,1,9,10,4,15,77,86,47,32,21,2,72,28,0
"chr11.115",227,1537,11,19,17,1,8,4,2,7,48,77,58,45,29,2,45,13,0
"chr11.116",258,1494,9,43,19,2,7,10,5,17,79,60,73,38,19,5,67,27,1
"chr11.117",285,1824,12,36,17,3,8,4,4,11,65,79,48,53,27,5,84,29,0
"chr11.118",343,2096,11,34,21,3,9,6,2,11,86,90,58,60,28,7,96,20,0
"chr11.119",493,3196,48,63,55,1,13,9,10,20,160,140,102,78,39,8,129,26,1
"chr11.120",396,2403,21,64,42,3,6,8,7,18,95,101,72,61,23,1,98,28,0
"chr11.121",410,2757,20,56,39,2,10,3,7,12,119,134,88,68,43,4,123,39,1
"chr11.122",363,2067,24,56,38,1,9,6,7,14,80,112,72,65,38,5,104,29,0
"chr11.123",317,1970,16,52,24,1,5,3,9,13,81,92,62,46,31,5,94,37,0
"chr11.124",544,3350,24,72,63,6,12,10,3,19,195,162,128,113,48,8,141,41,0
"chr11.125",413,2813,30,36,41,3,6,15,7,25,119,113,81,62,36,6,111,24,0
"chr11.126",256,1970,17,36,20,0,11,6,2,8,65,72,29,26,21,6,61,17,0
"chr11.127",273,1743,10,37,31,0,10,5,2,7,58,71,62,41,22,5,86,28,0
"chr11.128",493,2764,29,89,61,5,13,7,10,22,166,170,130,120,45,11,146,34,0
"chr11.129",730,4227,76,142,104,7,22,9,15,31,301,230,181,176,66,19,238,49,0
"chr11.130",640,3825,60,106,74,10,14,9,22,41,226,159,131,114,59,13,175,31,0
"chr11.131",379,2297,22,56,43,1,10,4,4,9,126,110,92,84,38,3,130,29,0
"chr12.2",280,1612,14,31,12,1,8,3,1,5,53,55,48,36,18,8,69,19,0
"chr12.3",312,1925,15,32,33,1,10,8,8,17,74,105,68,52,38,9,83,29,0
"chr12.4",302,1632,15,30,28,0,8,6,7,13,91,81,71,44,24,4,88,27,0
"chr12.5",365,2286,20,56,32,2,7,7,5,14,136,144,114,120,35,9,132,32,0
"chr12.6",417,2487,22,53,38,3,7,4,4,11,135,150,118,87,35,11,127,33,0
"chr12.7",220,1198,8,58,21,0,14,4,5,9,63,71,45,43,34,4,84,23,0
"chr12.11",391,2935,22,44,32,0,6,7,7,14,114,97,70,58,25,6,113,20,0
"chr12.12",275,2154,16,35,29,2,10,1,3,6,45,61,46,38,24,2,69,17,0
"chr12.13",228,1547,15,24,10,2,3,4,2,8,43,55,46,31,16,2,53,23,1
"chr12.14",238,1793,13,33,16,3,9,8,1,12,62,116,52,59,24,3,64,27,0
"chr12.15",273,1935,9,32,15,1,9,2,5,8,64,90,54,42,16,7,82,20,0
"chr12.16",315,2337,21,27,19,2,5,3,4,9,64,73,48,32,12,6,77,21,0
"chr12.17",332,2423,15,39,32,0,4,6,7,13,70,91,61,37,31,4,76,25,0
"chr12.18",585,3930,37,109,59,4,11,10,10,24,222,181,120,124,37,6,147,49,0
"chr12.19",470,3371,25,64,68,1,8,8,10,19,94,73,62,52,23,5,106,34,0
"chr12.20",351,2449,12,38,28,0,16,10,4,14,76,75,58,57,43,4,77,16,0
"chr12.21",378,2763,13,44,46,3,6,8,5,16,242,166,124,106,32,16,136,44,0
"chr12.22",355,2673,35,43,41,4,7,8,8,20,185,114,96,92,30,11,143,29,0
"chr12.23",383,2486,18,37,29,0,5,9,4,13,103,96,82,61,28,2,97,32,0
"chr12.24",523,3648,41,76,63,3,13,7,7,17,209,167,129,144,37,11,167,41,0
"chr12.25",593,3994,66,92,79,6,10,9,7,22,257,185,161,249,42,6,152,46,0
"chr12.26",412,2826,26,48,43,1,5,7,11,19,165,157,140,108,42,8,123,55,0
"chr12.27",339,2162,20,26,22,3,8,4,4,11,62,71,45,38,16,5,76,23,0
"chr12.28",267,1949,14,39,14,0,6,4,7,11,44,68,53,34,20,3,70,18,0
"chr12.29",356,2590,15,37,32,3,5,12,6,21,83,79,53,65,27,3,97,43,0
"chr12.30",377,2734,27,49,45,1,5,8,6,15,96,89,96,77,28,7,84,23,0
"chr12.31",539,3071,47,71,64,2,8,7,9,18,150,175,110,78,72,9,103,35,0
"chr12.34",431,2854,38,61,45,3,8,10,9,22,182,168,121,99,27,6,112,39,0
"chr12.36",460,3254,20,75,49,4,8,4,15,23,186,87,87,84,26,6,103,23,0
"chr12.37",348,2960,27,55,62,5,5,6,6,17,128,97,87,53,23,5,86,23,0
"chr12.38",535,3883,42,84,92,6,7,6,7,19,217,182,126,83,17,17,149,37,0
"chr12.39",413,2784,29,68,46,2,9,7,9,18,131,107,96,72,31,4,95,22,0
"chr12.40",512,3657,42,83,82,6,13,14,13,33,110,102,67,46,25,7,88,34,0
"chr12.41",385,2363,23,54,28,3,9,9,0,12,96,93,68,64,14,4,81,28,0
"chr12.42",503,3081,30,66,53,2,18,7,1,10,120,108,74,52,26,6,81,23,0
"chr12.43",330,2438,13,27,28,1,8,6,5,12,56,76,49,25,26,0,68,17,0
"chr12.44",357,2727,12,44,25,1,5,6,5,12,60,70,46,50,23,4,68,29,0
"chr12.45",272,1788,11,33,24,2,7,6,10,18,49,94,59,34,10,4,65,20,0
"chr12.47",255,1314,10,38,14,0,9,3,1,4,46,72,45,47,16,4,52,30,1
"chr12.49",252,1470,16,31,15,2,16,8,2,12,61,58,45,38,18,2,62,23,0
"chr12.50",254,1302,12,32,23,0,10,4,2,6,82,88,61,43,28,1,64,23,0
"chr12.51",312,1680,17,38,17,1,6,3,6,10,43,75,52,35,18,2,66,22,0
"chr12.55",257,1946,14,48,23,4,7,3,4,11,72,102,67,67,18,4,67,17,0
"chr12.56",309,2633,19,35,39,1,8,2,8,11,87,157,53,45,19,4,87,25,0
"chr12.57",552,3663,48,99,75,5,8,4,4,13,99,93,62,75,24,2,78,34,0
"chr12.58",649,4563,48,120,110,8,5,8,13,29,239,231,153,135,40,13,147,45,0
"chr12.59",440,3037,33,82,59,1,6,13,6,20,98,131,70,74,23,10,119,31,0
"chr12.60",311,2320,19,31,29,1,6,4,6,11,59,81,53,41,20,4,63,26,0
"chr12.62",380,2286,7,33,31,1,8,2,1,4,50,76,54,35,19,4,65,27,0
"chr12.63",372,2513,13,28,38,4,2,7,5,16,63,76,80,46,19,4,79,12,0
"chr12.64",340,2711,14,53,34,4,9,7,4,15,77,96,59,45,23,5,83,23,0
"chr12.65",339,2468,21,34,21,2,8,5,6,13,76,67,39,30,16,3,60,26,0
"chr12.66",269,2082,14,30,17,3,4,7,3,13,59,77,45,40,24,3,74,19,0
"chr12.67",298,2360,13,25,15,1,8,5,3,9,45,130,41,34,18,3,66,16,0
"chr12.68",314,2434,10,21,19,1,4,3,4,8,42,83,43,34,18,10,82,31,0
"chr12.69",316,2469,21,58,49,2,3,8,10,20,70,95,85,59,28,6,86,20,0
"chr12.70",591,4435,46,111,112,6,19,11,7,24,206,186,118,98,29,7,130,34,0
"chr12.71",658,4583,57,119,89,4,14,14,18,36,181,144,114,82,27,7,133,38,0
"chr12.72",424,3024,32,56,60,4,6,8,9,21,79,83,61,42,16,6,70,33,0
"chr12.73",334,2063,23,35,27,3,3,5,2,10,35,77,38,36,19,5,75,24,0
"chr12.74",416,2890,17,38,28,2,9,6,3,11,85,88,52,42,40,4,78,17,0
"chr12.75",439,3478,29,61,54,4,12,8,4,16,150,100,69,70,33,6,82,30,1
"chr12.76",356,2941,32,51,43,3,11,10,7,20,169,171,103,89,43,5,105,38,0
"chr12.77",369,2619,18,34,33,0,6,11,3,14,88,82,52,45,17,4,61,22,0
"chr12.78",475,3573,30,81,71,3,3,5,11,19,199,146,104,84,24,6,100,46,0
"chr12.79",495,3661,29,86,64,4,11,8,13,25,139,80,62,33,32,7,90,27,0
"chr12.80",359,2664,19,58,48,2,11,6,3,11,74,75,63,42,13,0,85,26,1
"chr12.81",628,4263,42,106,101,2,7,10,7,19,184,145,99,87,28,7,122,29,0
"chr12.82",486,3910,32,64,64,5,7,6,7,18,159,143,101,74,23,10,107,28,0
"chr12.83",527,3891,40,83,72,7,13,8,9,24,157,102,65,59,28,6,91,31,0
"chr12.84",528,3821,50,100,95,2,18,6,9,17,184,130,75,66,29,7,113,36,0
"chr12.85",364,2881,17,51,54,3,22,6,6,15,70,64,53,42,19,4,71,28,0
"chr12.86",243,2443,9,29,25,2,6,11,4,17,65,55,43,32,20,3,55,18,1
"chr12.87",310,2516,21,32,33,0,7,9,7,16,55,74,43,33,23,1,54,19,0
"chr12.88",362,3341,25,38,52,5,4,7,8,20,87,67,46,44,18,4,57,23,0
"chr12.89",311,2668,9,24,27,1,7,9,4,14,45,68,32,35,22,3,54,24,0
"chr12.90",258,1834,10,31,18,1,6,5,3,9,56,58,67,33,20,1,45,19,0
"chr12.91",321,2154,8,38,25,1,2,3,3,7,50,62,42,36,21,6,43,16,0
"chr12.92",292,1994,9,38,22,3,10,8,6,17,55,54,31,32,21,1,54,16,0
"chr12.93",282,1950,14,40,27,0,6,5,1,6,49,60,35,37,12,6,44,24,0
"chr12.94",510,3307,31,51,65,3,15,14,7,24,124,139,84,68,21,6,69,37,0
"chr12.95",503,3011,38,76,62,4,9,12,10,26,79,81,58,56,21,4,79,28,1
"chr12.96",419,2656,29,65,50,4,7,9,8,21,106,125,72,69,33,7,101,27,0
"chr12.97",374,2822,22,56,58,2,4,11,11,24,124,118,81,51,16,4,102,24,0
"chr12.98",331,2447,16,30,22,1,8,8,8,17,63,85,71,39,18,4,68,32,1
"chr12.99",338,2083,9,38,26,1,6,5,8,14,52,79,38,34,20,3,63,25,0
"chr12.100",501,3065,34,61,48,1,4,14,7,22,129,99,61,73,36,11,132,29,0
"chr12.101",341,2175,16,39,32,2,7,11,5,18,50,73,78,35,17,4,57,29,0
"chr12.102",331,2083,23,30,25,2,4,6,2,10,47,61,38,39,24,2,64,20,0
"chr12.103",370,2287,17,41,32,2,6,7,5,14,90,100,53,46,31,2,92,19,0
"chr12.104",370,2279,13,33,27,0,6,5,8,13,89,105,59,45,23,5,84,22,0
"chr12.105",446,2522,22,52,44,1,6,14,8,23,107,117,70,90,38,6,95,21,0
"chr12.107",276,1364,9,18,20,2,9,7,4,13,42,43,33,30,10,5,52,22,0
"chr12.108",383,1824,13,37,28,0,9,5,3,8,90,88,60,54,24,3,92,25,0
"chr12.110",286,1601,11,39,25,1,6,1,3,5,68,78,54,49,18,8,58,35,0
"chr12.111",430,2203,18,55,41,4,7,10,9,23,125,153,85,91,20,14,120,27,0
"chr12.112",346,2271,16,29,18,2,4,7,8,17,188,175,93,125,39,3,148,39,0
"chr12.113",328,1984,10,16,19,4,8,4,1,9,112,109,57,68,20,10,115,23,0
"chr12.114",311,1729,14,40,21,3,9,1,5,9,92,83,70,68,22,9,66,18,0
"chr12.115",280,1655,18,28,24,2,10,9,2,13,69,86,60,62,19,1,97,23,0
"chr12.116",471,2745,33,73,54,1,6,10,9,20,141,202,109,93,20,4,114,42,0
"chr12.117",305,1615,23,41,29,1,8,3,5,9,67,80,38,43,17,6,79,20,0
"chr12.121",284,1567,14,27,21,1,13,3,7,11,56,53,37,51,14,2,52,30,0
"chr12.122",233,1192,12,43,17,3,5,3,5,11,62,75,50,41,13,3,71,21,0
"chr12.123",467,2672,55,82,61,3,8,6,15,24,131,139,78,110,23,9,119,34,0
"chr12.124",554,3085,57,104,84,2,7,11,6,19,234,188,141,126,37,8,156,39,0
"chr12.125",504,3102,39,74,88,6,13,5,12,23,275,230,141,131,45,16,174,57,0
"chr12.126",538,2767,46,89,77,6,13,11,12,29,189,167,121,120,42,16,159,39,0
"chr12.127",513,3077,52,98,68,6,19,13,21,40,230,189,144,163,23,23,159,44,0
"chr12.128",473,2161,35,64,38,5,10,7,14,26,203,213,153,155,31,12,143,33,0
"chr13.18",285,1956,20,36,31,0,13,9,2,11,69,101,47,43,19,5,58,12,0
"chr13.19",367,2734,19,54,46,3,11,9,10,22,139,165,66,82,32,7,78,20,0
"chr13.20",523,3017,40,90,97,2,8,15,15,32,250,177,154,135,37,12,123,27,0
"chr13.21",333,1939,11,46,26,1,6,5,5,11,58,92,53,47,15,5,63,26,0
"chr13.23",464,2713,29,64,61,6,10,7,6,19,104,123,81,45,30,8,93,36,0
"chr13.24",330,2010,24,43,46,2,11,6,6,14,86,93,78,60,34,5,55,36,0
"chr13.25",347,2151,15,47,34,3,9,11,6,20,71,86,49,41,27,3,71,22,0
"chr13.26",444,2830,21,62,62,0,11,5,8,13,158,173,110,90,28,8,118,38,0
"chr13.27",317,2341,17,35,37,1,8,5,3,9,54,82,48,39,20,4,73,21,0
"chr13.28",372,2220,21,54,40,1,6,11,6,18,71,85,55,44,22,5,63,15,0
"chr13.29",366,2665,17,35,59,1,9,4,6,11,66,103,67,59,31,3,58,19,0
"chr13.30",319,2245,17,47,33,1,6,8,6,15,62,97,51,39,25,4,69,9,0
"chr13.31",297,2482,17,49,51,2,9,10,4,16,81,96,67,41,25,5,71,14,0
"chr13.32",400,2859,28,93,121,2,8,13,13,28,135,123,77,52,37,4,70,13,0
"chr13.33",591,3308,41,132,134,4,17,8,11,23,262,175,145,110,46,15,104,38,0
"chr13.34",462,2686,37,74,97,2,6,13,11,26,185,179,113,106,40,11,116,32,0
"chr13.35",535,3470,34,103,106,2,11,13,9,24,204,152,96,73,37,5,90,36,0
"chr13.36",434,3144,27,67,77,3,10,13,5,21,122,111,79,64,24,6,73,22,0
"chr13.37",431,2849,31,47,65,2,4,10,7,19,114,119,68,51,19,9,76,30,0
"chr13.39",269,2016,11,37,28,1,9,6,0,7,73,75,41,30,29,2,64,18,0
"chr13.40",360,2537,20,48,41,1,3,10,8,19,71,80,59,48,24,10,58,24,0
"chr13.41",309,2411,19,32,35,2,8,13,8,23,56,78,60,40,24,5,41,16,0
"chr13.42",235,1845,9,22,28,1,3,7,4,12,60,91,41,34,21,5,44,22,0
"chr13.43",378,2296,20,59,35,1,5,7,5,13,80,116,85,63,22,6,65,21,0
"chr13.44",411,2721,22,66,73,3,8,8,6,17,96,115,62,47,25,5,72,17,0
"chr13.45",378,2591,17,53,70,0,6,13,6,19,95,77,71,52,34,6,47,17,0
"chr13.46",330,2299,12,33,37,1,14,7,3,11,56,68,36,24,12,1,66,19,0
"chr13.47",292,1851,15,32,20,0,8,11,4,15,68,87,51,37,18,6,50,10,1
"chr13.48",337,2411,21,43,49,5,9,10,9,24,54,79,54,37,21,7,47,15,0
"chr13.51",594,4188,53,141,155,7,15,11,13,31,294,204,162,124,47,7,122,37,0
"chr13.52",785,5666,75,201,178,9,9,14,15,38,309,211,186,111,45,10,148,30,0
"chr13.53",712,5348,82,157,188,10,15,19,18,47,398,251,208,193,59,15,169,41,0
"chr13.54",694,4987,61,171,179,3,17,16,17,36,397,248,259,193,45,18,155,41,0
"chr13.55",705,5080,74,182,163,7,10,15,10,32,311,230,182,131,41,9,147,26,0
"chr13.56",605,4022,59,141,164,2,15,13,17,32,204,208,136,97,42,11,106,33,0
"chr13.57",377,2543,14,57,52,0,6,10,4,14,92,75,58,51,20,5,54,21,0
"chr13.58",541,3539,27,98,107,5,7,19,15,39,179,147,109,75,30,9,80,33,0
"chr13.59",846,5452,65,162,175,7,10,18,12,37,337,230,163,114,22,15,137,43,0
"chr13.60",904,6252,86,183,186,8,7,19,19,46,337,203,175,77,52,12,128,37,0
"chr13.62",1000,6236,95,176,185,10,18,20,12,42,437,304,293,184,46,20,162,44,0
"chr13.63",869,5725,69,184,170,7,12,17,14,38,427,327,249,184,43,17,176,24,0
"chr13.64",894,5583,67,177,156,5,17,19,19,43,347,190,192,107,37,13,115,35,0
"chr13.65",874,5577,69,183,130,3,23,11,10,24,349,215,220,127,43,12,120,31,0
"chr13.66",792,5654,81,183,155,5,15,16,12,33,343,250,202,168,45,24,150,33,0
"chr13.67",582,3940,28,122,128,4,7,15,4,23,221,160,140,77,22,9,105,17,0
"chr13.68",511,3461,30,77,80,6,11,13,10,29,141,136,102,73,25,5,85,30,0
"chr13.69",320,2767,8,45,42,1,5,9,5,15,108,111,66,60,30,6,65,20,0
"chr13.70",247,2020,10,46,39,3,9,11,7,21,60,91,59,29,24,5,49,19,0
"chr13.71",326,2403,15,42,41,2,8,8,4,14,92,106,63,60,21,4,69,28,0
"chr13.72",439,3075,39,62,81,1,7,9,9,19,173,141,106,67,27,11,84,25,0
"chr13.73",377,2639,19,63,85,3,15,14,10,27,111,101,49,56,18,6,73,26,0
"chr13.74",413,2769,31,58,73,2,8,8,8,18,84,78,55,51,19,3,63,23,0
"chr13.75",500,3345,31,79,112,2,10,10,5,17,157,139,95,81,27,6,100,27,0
"chr13.76",434,2786,24,57,65,4,10,17,7,28,150,153,92,82,23,7,92,27,0
"chr13.77",267,2282,17,32,40,3,6,12,3,18,59,83,48,39,14,5,50,18,0
"chr13.78",413,3346,36,76,64,1,6,13,8,22,136,109,94,66,28,5,76,20,0
"chr13.79",596,4217,57,119,132,5,15,13,11,29,210,162,111,67,36,8,80,15,0
"chr13.80",790,5363,93,185,155,9,16,12,19,40,319,259,220,153,40,18,143,36,0
"chr13.81",863,5522,92,195,162,10,21,16,19,45,376,294,256,167,35,13,137,61,0
"chr13.82",567,3840,53,126,137,12,11,25,9,46,225,177,119,109,28,6,94,28,0
"chr13.84",783,5095,64,185,158,15,20,12,15,42,399,293,259,184,53,15,140,35,0
"chr13.85",791,4912,55,166,158,13,7,19,14,46,332,243,214,142,46,9,155,38,0
"chr13.86",685,4253,52,165,148,7,8,15,10,32,238,176,150,79,33,9,105,37,0
"chr13.87",776,3911,60,149,135,7,11,12,9,28,212,140,129,71,35,5,102,24,0
"chr13.88",553,3326,50,75,93,9,5,9,12,30,165,114,76,89,36,5,78,25,0
"chr13.89",484,3495,39,87,109,3,7,19,8,30,166,133,119,76,38,4,86,27,0
"chr13.90",511,4160,42,121,127,5,8,16,13,34,197,167,96,86,15,5,80,25,0
"chr13.92",377,2511,32,69,59,2,8,9,7,18,105,85,66,33,27,4,60,19,0
"chr13.93",371,2445,22,44,46,2,7,7,8,17,87,79,50,42,23,2,62,14,0
"chr13.94",397,2838,24,52,66,1,9,12,4,17,89,102,50,42,29,2,59,13,0
"chr13.95",324,2314,16,45,40,2,3,9,5,16,70,83,40,50,18,0,53,20,0
"chr13.96",252,1623,10,25,31,1,6,4,6,11,57,61,46,23,14,2,41,13,0
"chr13.97",268,1837,14,31,29,2,6,11,4,17,59,75,53,38,21,5,56,20,0
"chr13.98",451,2479,29,55,76,2,9,9,6,17,146,139,119,74,27,4,91,27,0
"chr13.99",528,3936,39,110,129,5,10,14,12,31,220,130,105,86,26,6,114,22,0
"chr13.100",414,3018,31,40,77,2,6,5,4,11,117,96,66,47,27,1,76,17,0
"chr13.101",542,4233,37,126,128,4,11,16,14,34,179,121,79,59,28,4,89,23,0
"chr13.102",493,4072,40,97,130,3,9,16,9,28,210,151,97,72,21,10,95,20,0
"chr13.103",330,2751,21,48,47,4,5,11,7,22,101,99,60,45,23,3,59,19,0
"chr13.104",387,2668,23,57,97,5,6,10,4,19,76,82,58,59,27,2,79,26,0
"chr13.105",494,3159,29,89,115,2,9,12,9,23,136,128,69,65,14,4,94,15,0
"chr13.106",494,3162,36,98,106,3,8,9,13,25,150,131,99,73,30,5,80,24,0
"chr13.107",388,2398,26,47,59,3,10,7,5,15,114,128,84,69,29,4,66,26,0
"chr13.108",290,1825,12,51,35,3,12,5,3,11,72,96,70,33,24,5,53,19,0
"chr13.110",268,1575,19,37,40,0,4,4,7,11,64,84,62,41,30,4,51,20,0
"chr14.18",261,1767,5,26,14,0,8,1,1,2,50,63,70,32,27,2,60,25,0
"chr14.19",346,2860,25,39,21,0,7,4,3,7,76,111,69,37,27,6,74,31,0
"chr14.22",329,2473,12,34,20,3,5,4,2,9,107,102,63,70,39,5,90,22,0
"chr14.23",574,3759,27,86,73,6,10,3,6,15,286,211,158,119,38,8,139,47,0
"chr14.24",614,3985,24,85,54,1,17,6,9,16,215,152,130,90,34,4,116,41,0
"chr14.25",694,4769,43,93,91,4,11,6,11,21,272,196,193,147,36,14,132,35,0
"chr14.26",658,4678,49,90,82,5,13,2,9,16,310,239,191,151,59,15,172,38,0
"chr14.27",480,3549,30,59,46,2,7,6,5,13,148,158,93,94,25,8,107,45,0
"chr14.28",312,1812,3,20,11,0,7,0,4,4,44,101,39,32,20,4,59,22,0
"chr14.29",313,2275,13,19,17,1,6,1,0,2,54,68,43,40,15,5,58,27,0
"chr14.30",404,3213,16,59,50,0,7,1,10,11,105,134,78,102,25,10,95,26,0
"chr14.31",307,2070,16,30,20,2,6,0,3,5,57,73,59,44,21,4,74,22,0
"chr14.33",311,2235,6,35,18,1,9,4,5,10,84,74,53,50,22,2,66,22,0
"chr14.34",370,2642,10,41,38,0,6,2,4,6,91,102,48,53,13,4,70,18,0
"chr14.35",399,2939,25,51,37,0,5,6,9,15,77,132,68,66,30,6,73,16,0
"chr14.37",574,4009,39,83,73,1,11,4,5,10,204,182,125,126,36,7,119,32,0
