,kidney_clear_cell,kidney_papillary,melanoma_acral_lentiginuous,melanoma_desmoplastic,melanoma_mucosal_lentiginous,melanoma_nodular,melanoma_superificial_spreading,colorectal_nos,colorectal_adeno_nos,colorectal_adeno_mucinous,CIN,GS,MSI,POLE
chr11.124,354,74,70,0,4,1817,1350,15,2446,1623,170,50,12,2661
chr11.125,245,73,29,1,1,969,702,10,1932,1422,124,27,6,2231
chr11.126,209,55,32,1,1,1141,787,5,1295,1018,64,11,11,1626
chr11.127,211,66,35,1,1,721,506,4,1154,953,72,13,10,1422
chr11.128,270,56,75,2,2,1794,1392,21,1974,1476,174,51,13,2134
chr11.129,267,69,60,3,5,1191,905,24,3158,2150,335,74,22,3073
chr11.130,327,63,73,0,2,1611,1072,23,2829,1908,269,64,14,2795
chr11.131,289,68,57,1,1,826,741,18,1668,1130,118,18,10,1854
chr12.2,241,42,30,1,0,463,290,1,1046,915,61,13,8,1350
chr12.3,243,51,52,4,1,1156,736,8,1330,1006,78,17,10,1584
chr12.4,249,58,37,1,2,776,471,6,1168,854,69,17,8,1310
chr12.5,293,74,67,4,11,1352,867,7,1648,1125,111,19,7,1904
chr12.6,382,82,66,0,7,1579,1032,8,1808,1219,123,28,7,2016
chr12.7,225,61,35,1,4,621,390,1,839,688,100,14,14,972
chr12.11,242,65,40,2,4,987,609,12,1948,1484,102,32,6,2414
chr12.12,203,71,28,3,1,698,370,7,1412,1106,93,15,10,1764
chr12.13,203,66,35,2,7,468,267,3,1017,815,56,10,3,1274
chr12.14,293,60,46,0,3,1586,932,4,1220,890,67,14,9,1455
chr12.15,213,64,41,2,8,1257,797,5,1213,1063,66,14,9,1620
chr12.16,206,49,32,5,4,1138,675,8,1484,1241,73,12,5,1925
chr12.17,245,57,53,2,7,1430,866,4,1578,1276,86,23,4,1977
chr12.18,345,76,93,6,5,2616,1519,13,2838,1904,222,72,11,3094
chr12.19,265,68,95,1,9,2437,1484,12,2269,1744,171,38,8,2717
chr12.20,198,74,46,2,3,1066,730,7,1709,1192,77,19,16,1949
chr12.21,280,70,59,3,6,1397,982,13,1764,1489,115,25,6,2266
chr12.22,330,73,74,2,2,1735,1101,14,1772,1388,120,28,7,2167
chr12.23,296,75,27,3,3,587,371,3,1650,1318,90,21,5,2029
chr12.24,383,68,44,3,5,810,487,14,2668,1699,211,52,13,2890
chr12.25,323,65,28,4,8,363,220,22,2967,1867,255,69,10,3066
chr12.26,232,62,41,0,4,933,551,10,2001,1368,120,28,5,2276
chr12.27,212,67,42,2,2,404,278,6,1421,1161,57,12,8,1761
chr12.28,205,65,25,1,3,514,275,4,1298,998,67,11,6,1613
chr12.29,252,57,43,1,3,690,402,8,1746,1302,100,19,5,2146
chr12.30,304,75,26,3,2,687,400,13,1873,1366,116,21,5,2231
chr12.31,316,67,37,5,7,1155,619,16,2232,1570,214,35,8,2464
chr12.34,373,67,143,5,8,3430,2183,16,2028,1415,156,35,8,2309
chr12.36,249,65,51,1,3,1011,674,18,2184,1687,166,37,8,2717
chr12.37,198,65,36,3,6,834,509,13,2038,1423,143,22,5,2414
chr12.38,338,70,41,1,4,1068,613,38,2858,1766,233,55,7,3088
chr12.39,211,56,31,1,3,908,548,15,2016,1336,141,38,9,2236
chr12.40,266,71,48,1,3,1440,971,29,2674,1719,230,49,13,2840
chr12.41,249,54,46,1,4,930,558,12,1623,1239,114,29,9,1916
chr12.42,261,65,44,2,2,944,603,23,2116,1622,170,34,18,2498
chr12.43,220,56,58,2,4,1137,699,5,1647,1204,73,10,8,1951
chr12.44,197,58,49,3,4,2104,1260,6,1824,1352,72,17,5,2259
chr12.45,222,55,61,3,2,973,620,11,1150,992,68,15,7,1450
chr12.47,218,57,29,2,2,503,341,2,899,743,65,4,9,1071
chr12.49,217,61,29,0,4,788,478,5,988,819,68,8,16,1234
chr12.50,225,68,29,0,12,854,591,4,886,749,75,22,10,1061
chr12.51,242,62,47,2,3,743,433,6,1111,963,74,15,6,1372
chr12.55,239,64,48,4,7,1231,791,4,1291,1011,98,14,7,1583
chr12.56,234,64,50,4,10,1603,996,17,1688,1349,88,21,8,2179
chr12.57,482,70,95,5,7,2243,1337,16,2710,1732,223,61,8,2977
chr12.58,574,97,131,5,7,2778,2016,38,3404,2082,302,85,5,3568
chr12.59,325,89,90,6,2,1896,1430,22,2160,1495,162,44,6,2463
chr12.60,248,47,40,6,4,641,424,9,1515,1203,75,22,6,1889
chr12.62,209,57,18,1,4,758,524,10,1547,1192,77,19,8,1854
chr12.63,256,58,34,4,4,1014,604,4,1739,1239,92,20,2,2070
chr12.64,217,46,96,1,3,699,436,9,1880,1287,108,29,9,2182
chr12.65,226,61,62,1,2,1114,695,8,1673,1223,71,22,8,2033
chr12.66,200,73,99,2,3,707,480,5,1322,1102,57,8,4,1722
chr12.67,205,61,148,10,3,1600,1021,6,1525,1197,54,14,8,1911
chr12.68,251,55,208,4,7,2265,1293,6,1634,1170,54,9,4,1972
chr12.69,219,51,115,3,6,1279,827,15,1681,1240,123,23,3,2033
chr12.70,292,75,93,5,4,3067,1977,33,3226,2079,281,64,19,3425
chr12.71,400,76,68,6,4,2165,1513,31,3405,2120,281,84,14,3486
chr12.72,349,76,31,3,5,1466,865,20,2151,1452,141,31,6,2408
chr12.73,215,58,35,1,4,469,311,6,1379,1110,91,17,3,1652
chr12.74,274,62,32,0,3,595,411,7,1940,1462,92,26,9,2291
chr12.75,366,57,45,1,5,748,495,18,2413,1658,151,43,12,2804
chr12.76,332,51,82,4,10,1862,1322,12,1991,1451,133,36,11,2361
chr12.77,243,59,41,5,5,1215,736,13,1741,1339,84,20,6,2147
chr12.78,245,73,80,4,4,2446,1518,22,2513,1717,173,39,3,2758
chr12.79,267,57,67,4,8,1244,815,24,2581,1766,202,40,11,2868
chr12.80,230,63,50,0,3,759,509,14,1824,1332,121,25,11,2165
chr12.81,448,80,125,2,7,1903,1203,30,3014,2122,273,60,7,3359
chr12.82,367,63,66,2,4,930,531,28,2733,1820,180,48,7,3077
chr12.83,425,85,69,1,11,1610,839,23,2743,1884,207,41,13,3054
chr12.84,474,73,105,7,11,3050,1895,25,2680,1924,246,59,18,3044
chr12.85,287,69,112,2,11,2121,1450,19,1962,1423,119,22,22,2356
chr12.86,202,59,59,1,5,1416,936,6,1661,1105,62,16,6,1971
chr12.87,268,64,43,0,6,1530,917,9,1728,1198,80,21,7,2012
chr12.88,346,63,58,0,5,2171,1285,15,2280,1547,132,27,4,2756
chr12.89,239,59,27,0,5,665,402,7,1763,1290,58,17,7,2137
chr12.90,198,54,21,1,1,570,344,4,1196,966,69,8,6,1479
chr12.91,222,69,17,1,2,501,317,5,1398,1152,70,15,2,1750
chr12.92,219,64,36,3,3,775,434,6,1316,1060,73,12,10,1641
chr12.93,220,56,29,0,3,730,432,6,1313,1006,85,8,6,1596
chr12.94,247,61,83,6,5,2176,1386,15,2380,1608,156,35,15,2588
chr12.95,260,53,89,5,10,3238,2100,18,2185,1522,201,45,9,2403
chr12.96,221,68,31,2,9,839,584,19,1858,1370,142,42,7,2177
chr12.97,202,76,49,1,7,1233,782,19,1973,1368,143,32,4,2237
chr12.98,206,59,46,0,6,1491,928,10,1600,1261,69,17,8,2033
chr12.99,202,64,31,2,2,885,466,6,1354,1154,76,19,6,1717
chr12.100,284,65,55,4,4,1543,1014,23,2094,1618,138,34,4,2452
chr12.101,227,61,33,3,3,995,586,10,1426,1192,80,17,7,1775
chr12.102,215,51,24,1,0,463,350,9,1435,1062,78,17,4,1702
chr12.103,256,65,38,0,4,927,598,11,1536,1220,100,14,6,1881
chr12.104,222,71,52,2,0,998,640,8,1573,1160,84,21,6,1833
chr12.105,248,72,43,4,2,1229,838,15,1857,1243,131,26,6,2003
chr12.107,223,70,19,2,2,436,283,4,925,780,52,3,9,1093
chr12.108,257,67,37,2,4,935,538,5,1260,1037,81,22,9,1461
chr12.110,255,58,34,1,1,1001,646,6,1051,916,72,15,6,1289
chr12.111,337,71,41,3,4,1541,999,12,1620,1145,126,28,7,1743
chr12.112,376,94,71,1,2,1404,898,7,1575,1119,73,18,4,1759
chr12.113,303,73,37,4,7,1064,728,8,1312,1054,52,15,8,1610
chr12.114,239,60,43,2,3,980,642,4,1183,946,87,11,9,1374
chr12.115,316,65,59,3,14,1460,1006,6,1103,919,67,14,10,1350
chr12.116,331,80,87,4,12,1962,1305,14,1958,1430,155,39,6,2188
chr12.117,229,64,27,1,6,960,651,13,1149,868,86,15,8,1313
chr12.121,200,67,30,2,3,594,389,5,1113,819,60,19,13,1234
chr12.122,232,65,45,1,4,797,511,3,857,653,67,7,5,942
chr12.123,306,55,98,9,9,2335,1542,14,1969,1386,175,67,8,2169
chr12.124,354,81,111,7,11,2702,1850,27,2348,1535,242,63,7,2343
chr12.125,441,102,155,5,17,3403,2264,33,2220,1590,216,53,13,2348
chr12.126,324,68,89,4,8,2231,1389,16,2102,1441,233,64,13,2070
chr12.127,441,74,65,2,5,1216,803,25,2386,1456,230,48,19,2181
chr12.128,382,64,72,2,5,1155,689,15,1716,1076,151,38,10,1634
chr13.18,217,61,23,1,6,491,273,10,1373,969,81,11,13,1589
chr13.19,287,62,75,8,0,1663,1053,13,1926,1314,128,20,11,2085
chr13.20,277,51,74,3,7,2181,1349,36,2205,1566,239,49,8,2301
chr13.21,205,51,34,1,0,594,376,8,1291,1073,80,20,6,1569
chr13.23,292,54,39,2,2,877,469,23,1940,1397,158,28,10,2168
chr13.24,266,51,53,3,1,1084,661,16,1359,1103,105,17,11,1621
chr13.25,261,74,44,0,6,852,480,8,1517,1098,107,13,9,1712
chr13.26,329,89,61,1,0,1467,1055,15,2010,1418,139,29,11,2249
chr13.27,194,36,25,1,1,609,383,9,1619,1136,86,9,8,1863
chr13.28,232,58,21,0,3,735,492,13,1579,1139,110,19,6,1759
chr13.29,272,57,48,2,2,1188,698,21,1791,1350,115,20,9,2158
chr13.30,194,59,25,2,1,959,554,16,1554,1112,83,11,6,1810
chr13.31,229,60,20,1,6,896,559,15,1682,1224,118,17,9,2016
chr13.32,201,63,46,1,6,1414,759,49,2024,1464,250,40,8,2344
chr13.33,222,44,37,0,3,851,618,49,2477,1720,313,60,17,2684
chr13.34,264,66,53,3,6,1294,792,39,1974,1375,212,39,6,2202
chr13.35,296,55,45,4,5,1427,1028,34,2493,1756,262,38,11,2735
chr13.36,221,65,41,1,5,1032,717,29,2227,1524,179,31,10,2537
chr13.37,252,50,29,4,5,701,486,32,1999,1415,143,27,4,2280
chr13.39,223,72,30,1,1,619,373,11,1335,1031,76,9,9,1648
chr13.40,229,62,36,3,1,877,514,10,1744,1274,121,19,3,2074
chr13.41,200,44,29,4,4,737,456,7,1560,1270,93,14,8,1967
chr13.42,204,52,35,1,1,510,379,7,1255,892,62,14,3,1510
chr13.43,272,61,20,1,1,722,464,7,1564,1235,118,16,5,1871
chr13.44,252,59,39,2,6,1137,652,29,1931,1358,167,27,8,2208
chr13.45,184,50,32,2,6,950,510,22,1796,1316,151,24,6,2126
chr13.46,184,53,36,2,4,538,319,11,1515,1210,88,13,14,1878
chr13.47,193,73,26,2,2,498,327,3,1265,965,77,17,8,1504
chr13.48,197,54,28,0,1,556,386,11,1674,1209,115,17,9,1932
chr13.51,500,70,107,3,4,2882,1650,68,3081,2028,381,60,15,3099
chr13.52,617,82,116,4,3,3103,1971,48,4310,2594,478,88,9,4166
chr13.53,455,78,119,3,9,3154,2091,52,3925,2572,473,76,15,3863
chr13.54,411,78,94,5,3,2784,1700,75,3582,2488,431,56,17,3679
chr13.55,454,84,90,2,8,2693,1611,53,3762,2431,458,69,10,3810
chr13.56,303,60,66,2,2,2027,1172,51,2975,2012,370,68,15,3149
chr13.57,198,62,37,4,5,1072,601,19,1796,1248,120,30,6,2057
chr13.58,344,53,61,0,5,1166,823,33,2592,1733,266,39,7,2771
chr13.59,423,77,84,5,4,2418,1491,52,4064,2631,458,89,10,4081
chr13.60,508,73,80,6,6,2270,1269,54,4782,2828,493,90,7,4559
chr13.62,550,80,94,4,3,2896,1795,47,4779,2926,532,93,18,4567
chr13.63,451,66,77,2,7,1515,943,45,4185,2837,483,89,12,4499
chr13.64,311,64,44,3,6,1057,655,58,4107,2772,458,82,17,4320
chr13.65,477,63,91,3,6,1434,955,40,4036,2804,450,88,23,4313
chr13.66,451,77,98,3,8,2055,1324,50,4145,2718,486,89,15,4350
chr13.67,267,65,77,2,4,1554,1025,55,2763,2012,292,32,7,3147
chr13.68,405,68,80,2,5,2914,1855,31,2451,1717,203,32,11,2762
chr13.69,315,64,77,1,5,2808,1872,9,1852,1341,93,16,5,2283
chr13.70,266,55,58,2,3,1452,891,9,1324,1059,83,13,9,1663
chr13.71,229,53,39,2,4,940,579,7,1595,1247,103,18,8,1952
chr13.72,240,62,38,0,3,1181,727,30,2308,1384,199,38,7,2453
chr13.73,275,52,43,2,6,843,500,33,1837,1355,199,22,15,2142
chr13.74,225,58,41,1,5,1087,607,33,1963,1374,158,30,8,2256
chr13.75,355,65,38,4,5,1135,683,46,2393,1655,243,45,10,2642
chr13.76,362,69,60,4,5,2246,1402,25,1922,1457,160,27,10,2264
chr13.77,256,61,31,2,8,844,509,15,1571,1076,93,12,6,1876
chr13.78,249,64,81,0,9,2266,1504,23,2293,1647,169,28,6,2711
chr13.79,310,63,111,3,8,2585,1728,51,2941,2173,333,49,15,3363
chr13.80,373,60,97,0,6,2886,1905,57,4000,2585,476,73,16,4072
chr13.81,573,73,95,7,6,3211,2089,61,4202,2637,501,71,21,4172
chr13.82,519,77,74,2,7,2212,1439,62,2756,1962,349,44,11,3169
chr13.84,382,66,106,7,7,2724,1729,53,3764,2530,457,77,20,4011
chr13.85,311,69,84,2,11,1728,1211,52,3570,2513,471,78,7,3906
chr13.86,420,63,112,7,8,2173,1267,40,3025,2278,411,66,8,3485
chr13.87,273,62,99,4,1,1910,1343,41,2937,2092,382,65,11,3179
chr13.88,324,68,78,0,8,1980,1355,29,2328,1775,245,41,5,2712
chr13.89,425,54,129,2,4,2744,1845,45,2483,1723,253,40,7,2875
chr13.90,261,61,123,2,6,3088,2131,35,3086,1882,323,41,8,3363
chr13.92,198,44,26,0,2,853,574,24,1745,1305,165,21,8,2006
chr13.93,255,57,45,0,5,1194,795,14,1694,1244,118,13,7,1970
chr13.94,289,76,76,3,5,1969,1381,20,1943,1440,155,26,9,2311
chr13.95,190,71,23,1,2,610,429,10,1610,1138,101,10,3,1870
chr13.96,221,65,20,2,3,513,337,8,1091,859,72,9,6,1295
chr13.97,221,57,38,4,5,688,456,4,1287,911,76,16,6,1515
chr13.98,305,67,72,2,4,1294,911,24,1779,1313,187,22,9,1969
chr13.99,236,54,72,2,4,1483,999,53,2915,1815,290,50,10,3049
chr13.100,222,47,57,3,8,1938,1270,23,2086,1488,159,21,6,2436
chr13.101,299,59,97,1,3,2276,1542,44,3150,1917,312,66,11,3203
chr13.102,411,60,64,4,5,1353,804,46,2954,1869,271,38,9,3197
chr13.103,367,60,75,4,5,1277,693,12,1887,1325,123,23,5,2223
chr13.104,459,67,104,3,4,2423,1627,41,1896,1320,199,34,6,2156
chr13.105,503,76,130,4,7,2623,1769,46,2291,1581,250,32,9,2483
chr13.106,427,74,45,0,4,902,467,48,2324,1557,254,37,8,2500
chr13.107,288,75,43,5,4,698,448,14,1676,1253,155,23,10,1948
chr13.108,213,64,37,2,4,606,452,7,1322,907,89,6,12,1456
chr13.110,231,83,34,3,3,643,391,9,1169,776,113,10,4,1259
chr14.18,213,58,23,1,3,589,356,6,1130,947,54,9,8,1438
chr14.19,227,63,42,3,5,2101,1413,7,1911,1387,84,16,7,2298
chr14.22,258,49,21,3,5,681,563,6,1625,1251,85,18,5,2040
chr14.23,354,65,90,4,6,2307,1695,24,2754,1766,232,59,10,2960
chr14.24,210,45,85,2,6,2681,1734,18,2873,1904,215,74,17,3167
chr14.25,407,59,112,8,11,3266,2087,25,3449,2248,306,79,11,3745
chr14.26,322,67,86,7,10,2041,1316,22,3410,2154,265,55,13,3624
chr14.27,217,62,36,1,5,1161,749,12,2475,1697,137,25,7,2815
chr14.28,179,62,19,3,2,566,368,4,1120,1045,50,16,7,1516
chr14.29,175,53,20,2,2,489,327,4,1496,1145,52,8,6,1849
chr14.30,195,49,29,3,6,822,554,16,2218,1526,134,26,7,2630
chr14.31,195,52,28,0,5,572,372,2,1361,1091,63,13,6,1687
chr14.33,181,49,32,1,3,743,486,3,1433,1188,63,11,9,1828
chr14.34,198,67,59,1,6,1094,857,11,1842,1260,94,27,6,2113
chr14.35,274,62,112,6,7,2558,1790,10,1930,1531,102,25,5,2364
chr14.37,201,47,105,8,7,2726,2024,22,2831,1946,216,56,11,3098
chr14.38,308,65,114,4,8,2403,1781,24,3755,2241,307,76,16,3830
chr14.39,432,80,83,4,5,1595,1039,29,3598,2324,324,64,16,3841
chr14.40,431,61,64,2,7,1418,816,17,2700,2060,192,42,7,3388
chr14.41,382,55,44,2,6,969,607,10,2395,1813,168,32,8,2932
chr14.43,320,59,33,2,2,992,589,17,2238,1559,153,28,8,2655
chr14.44,393,46,30,3,10,587,386,12,2803,2077,200,47,11,3289
chr14.45,429,73,51,3,16,1076,695,20,3093,2058,282,87,16,3283
chr14.46,240,46,79,3,8,1237,856,13,2162,1523,164,47,4,2454
chr14.47,172,64,38,2,1,327,249,2,902,782,45,10,12,1147
chr14.48,168,49,24,0,4,479,322,6,1667,1235,82,17,7,1974
chr14.49,204,52,35,5,5,736,504,7,1437,1245,72,17,8,1871
chr14.50,195,46,17,1,6,534,371,5,1579,1191,69,20,4,1939
chr14.51,189,43,42,2,3,1125,735,4,1523,1089,56,13,6,1818
chr14.52,154,65,21,2,2,409,249,1,1084,893,49,11,5,1399
chr14.53,169,59,38,3,5,490,338,2,1654,1171,67,15,6,1964
chr14.54,186,57,50,2,5,1366,902,6,2038,1350,97,20,8,2336
chr14.55,181,68,54,1,5,1151,771,6,1763,1341,84,25,6,2153
chr14.56,203,60,15,3,2,633,466,4,1612,1317,41,12,13,2025
chr14.57,211,52,32,2,0,1069,708,3,1897,1441,72,15,7,2391
chr14.58,184,41,20,2,0,500,352,2,1474,1117,67,19,3,1752
chr14.59,232,60,74,5,12,1930,1371,15,1817,1393,111,30,13,2176
chr14.60,274,75,60,6,9,1914,1268,10,2159,1422,138,24,7,2403
chr14.61,186,64,26,1,3,397,244,0,1053,884,40,9,5,1369
chr14.62,188,60,22,3,5,637,364,4,997,816,51,10,11,1225
chr14.63,200,51,38,3,5,971,563,7,1379,1181,60,13,6,1836
chr14.64,173,62,18,4,4,411,288,7,1139,1039,54,7,7,1551
chr14.65,151,64,22,0,1,335,253,6,1004,906,33,8,10,1387
chr14.66,168,68,23,5,7,528,394,1,1082,761,60,14,12,1261
chr14.67,224,49,42,2,10,1563,1008,7,1510,1089,60,13,8,1755
chr14.68,167,65,35,5,6,919,621,5,1243,942,50,11,5,1502
chr14.69,219,66,77,2,5,2225,1572,8,1817,1306,105,26,5,2090
chr14.70,202,67,26,4,1,565,381,1,1033,829,49,11,9,1278
chr14.72,177,62,28,1,5,536,337,5,963,791,48,6,5,1178
chr14.73,163,63,26,1,6,592,406,3,1198,948,80,10,7,1427
chr14.74,172,55,35,3,4,647,467,4,1086,881,61,13,6,1277
chr14.75,253,63,46,6,7,1215,958,6,1416,1080,82,17,7,1649
chr14.77,242,62,58,5,8,1114,885,14,1866,1432,154,35,10,2219
chr14.78,183,52,45,3,6,735,453,10,1587,1223,76,16,7,1933
chr14.79,308,78,117,7,9,2381,1858,21,2900,1839,259,70,15,2952
chr14.80,489,87,125,6,10,3100,2226,29,3945,2410,338,114,20,3854
chr14.81,440,95,48,0,8,1526,978,22,4233,2590,342,86,15,4113
chr14.82,411,93,103,4,14,1948,1396,31,3831,2489,397,80,9,3735
chr14.83,442,81,87,3,8,1593,1119,16,3537,2243,263,79,13,3437
chr14.84,364,54,134,6,13,2736,1861,21,3318,2158,269,75,14,3505
chr14.85,256,58,56,5,4,1429,870,11,1715,1318,103,21,11,2058
chr14.86,209,54,41,2,4,770,532,2,1398,1016,52,12,6,1628
chr14.87,183,48,34,0,5,944,605,3,1423,1015,68,18,2,1637
chr14.88,192,60,33,3,5,466,308,3,930,780,49,8,10,1140
chr14.89,172,63,32,1,1,1008,645,5,1200,928,49,9,7,1459
chr14.90,174,55,30,2,3,603,408,5,1164,802,57,13,6,1317
chr14.91,204,65,46,2,5,1132,769,3,1671,1214,98,22,11,1878
chr14.92,222,56,52,2,7,1016,709,9,1296,999,95,13,7,1498
chr14.93,239,52,55,1,5,1497,1010,7,1418,1055,66,14,3,1669
chr14.94,261,65,77,5,5,1472,1009,10,1977,1389,136,35,13,2161
chr14.95,266,44,119,6,13,2047,1586,15,2661,1570,166,32,8,2678
chr14.96,244,68,66,7,3,1045,796,4,1560,1025,93,16,16,1611
chr14.97,164,52,32,0,2,541,385,7,1125,918,73,7,9,1363
chr14.98,323,55,65,7,6,1528,1017,12,1523,1090,108,16,5,1726
chr14.99,186,63,30,5,3,480,373,2,867,685,60,11,5,1053
chr14.100,187,62,28,1,5,560,371,1,822,634,43,8,7,944
chr14.101,189,70,34,1,2,851,518,3,960,750,77,14,7,1120
chr14.102,170,55,32,2,3,557,374,3,711,531,63,9,11,797
chr15.22,295,72,71,2,3,1504,1111,27,2291,1561,203,40,14,2378
chr15.23,303,88,77,6,2,1597,1264,21,3031,1878,296,78,17,2981
chr15.24,289,47,69,1,2,1054,872,31,3118,1956,290,62,8,3124
chr15.30,214,47,37,0,3,690,399,8,1420,1181,90,17,9,1756
chr15.32,193,60,34,1,2,689,434,9,1557,1289,83,11,2,1948
chr15.33,210,59,70,5,3,2071,1302,13,2328,1601,124,26,12,2710
chr15.34,267,56,55,5,1,1766,1194,8,2483,1648,143,31,9,2786
chr15.35,203,60,19,2,1,940,663,3,1852,1238,82,15,7,2240
chr15.36,158,42,30,0,2,1598,824,1,1636,1231,58,15,11,2036
chr15.37,216,43,19,2,2,592,332,2,961,783,45,11,4,1217
chr15.39,170,60,19,2,1,474,279,1,861,707,36,7,5,1105
chr15.43,275,51,79,5,4,2192,1438,15,1643,1363,99,23,6,2099
chr15.44,403,78,27,0,1,773,475,16,2235,1603,125,25,6,2712
chr15.45,224,55,25,0,4,555,333,12,2025,1382,102,24,11,2306
chr15.46,185,68,25,1,4,672,399,5,1605,1270,63,14,9,1956
chr15.47,202,77,31,1,1,1048,665,7,1384,1029,45,14,5,1708
chr15.48,212,58,28,1,1,853,477,4,1291,1040,51,10,5,1575
chr15.49,199,73,24,1,3,460,296,0,1197,910,42,11,3,1475
chr15.50,264,61,63,0,3,1454,928,9,1985,1411,112,24,7,2361
chr15.51,221,80,98,4,2,2670,1649,23,2449,1678,153,54,13,2792
chr15.53,186,64,22,3,4,676,418,5,1685,1146,55,13,6,1945
chr15.54,242,70,38,3,6,743,466,3,1248,1022,32,15,6,1563
chr15.55,217,64,45,1,3,968,534,4,1324,1113,53,14,8,1694
chr15.56,178,83,21,2,1,492,261,3,1017,811,50,9,8,1273
chr15.57,214,67,39,2,1,917,566,7,1441,1146,75,16,8,1765
chr15.58,227,53,78,9,4,1738,1160,14,1910,1496,122,32,7,2251
chr15.59,205,67,46,4,7,1038,640,7,1240,1027,56,15,12,1544
chr15.60,203,72,37,4,1,619,376,4,1012,754,44,5,7,1226
chr15.61,189,70,21,4,4,453,291,3,877,759,43,11,8,1133
chr15.62,193,75,22,2,2,456,326,5,1016,812,63,12,10,1188
chr15.63,196,72,30,4,1,721,426,1,1055,832,46,9,8,1299
chr15.64,210,43,30,2,2,578,371,4,1038,878,45,6,13,1289
chr15.65,214,68,22,4,3,667,365,2,1344,1033,64,13,6,1638
chr15.66,225,64,29,2,4,742,465,3,1145,991,52,11,9,1454
chr15.67,239,48,41,0,3,797,539,3,1371,1025,70,15,10,1578
chr15.68,219,47,39,7,3,1211,671,5,1160,980,51,11,8,1517
chr15.70,216,70,27,1,2,631,428,8,1475,1199,67,13,6,1849
chr15.73,207,70,32,4,2,720,423,3,1174,960,51,9,6,1471
chr15.74,210,67,25,6,2,463,264,5,1039,880,54,9,5,1309
chr15.75,227,57,28,6,3,667,396,5,902,806,40,10,7,1124
chr15.76,236,66,28,1,1,872,533,9,1482,1121,83,20,3,1642
chr15.77,227,68,27,2,6,545,328,5,1280,1035,66,13,11,1513
chr15.78,261,55,27,1,1,682,428,6,1274,1074,69,23,7,1564
chr15.83,268,87,43,4,2,1034,591,6,1358,1127,88,20,9,1656
chr15.84,390,64,89,3,5,2536,1642,15,2499,1729,195,48,14,2680
chr15.85,334,76,72,3,6,2043,1318,25,2195,1516,193,36,17,2301
chr15.86,252,64,34,3,4,721,403,2,1181,932,56,11,5,1365
chr15.88,231,59,48,4,3,750,511,2,1030,875,50,17,5,1267
chr15.89,266,66,62,2,2,1164,844,7,1462,1214,91,18,7,1725
chr15.90,235,70,69,5,5,1265,829,2,1083,918,64,21,5,1325
chr15.91,310,92,107,6,7,2147,1275,8,1643,1406,95,25,3,2012
chr15.92,345,74,122,10,14,3257,2024,21,2337,1690,165,55,11,2652
chr15.93,267,69,60,4,1,1577,1023,22,2665,1731,211,68,8,2582
chr15.94,275,62,129,3,8,3102,2088,12,2314,1627,172,41,5,2498
chr15.95,277,67,95,2,7,2010,1336,9,1694,1232,85,20,4,1900
chr15.96,231,78,41,4,3,588,359,3,1273,1001,62,16,5,1457
chr15.97,203,57,32,1,1,536,370,4,1444,1124,80,11,7,1690
chr15.98,205,50,38,3,3,670,378,5,1060,901,72,14,14,1226
chr16.2,217,56,28,2,3,694,460,6,749,447,96,2,12,720
chr16.4,203,66,32,4,3,645,444,5,999,781,58,20,11,1120
chr16.5,235,68,22,1,3,499,358,6,764,580,67,9,9,840
chr16.6,317,63,76,3,6,1412,1023,2,1535,1043,109,23,11,1619
chr16.8,418,79,133,8,16,3256,2094,24,2739,1753,265,49,15,2736
chr16.10,211,49,96,5,6,2080,1612,6,1345,1076,68,22,3,1658
chr16.11,285,57,79,6,8,1785,1144,8,1220,941,88,14,6,1382
chr16.12,200,57,35,1,1,555,388,2,845,622,62,8,7,940
chr16.13,254,87,29,4,2,735,464,7,1088,870,99,16,12,1230
chr16.14,215,63,88,5,13,3250,2141,14,2024,1520,181,31,13,2187
chr16.18,400,92,82,7,6,1749,1278,8,1528,1074,87,15,7,1671
chr16.20,242,62,38,4,3,1034,696,4,997,831,61,7,5,1210
chr16.24,277,60,57,2,1,1050,742,5,1199,919,77,17,9,1389
chr16.25,273,71,62,0,5,1399,935,7,1503,1121,88,23,9,1740
chr16.26,318,75,85,4,4,2395,1624,14,1841,1375,161,29,7,2070
chr16.27,385,86,120,11,8,3740,2501,26,2439,1716,231,55,12,2597
chr16.28,248,53,53,4,4,996,654,6,1224,864,102,20,8,1310
chr16.45,254,51,39,5,6,728,517,10,1405,1073,101,15,3,1617
chr16.46,311,68,47,0,5,1788,1247,8,1783,1260,112,15,9,1997
chr16.47,286,67,54,2,3,1074,739,6,1280,929,88,14,7,1432
chr16.48,248,64,45,6,7,1752,1200,24,1532,1157,130,22,3,1732
chr16.49,258,55,69,5,11,2446,1716,21,2089,1555,178,30,13,2356
chr16.50,196,54,48,3,5,1031,759,6,1381,1051,68,15,8,1708
chr16.51,237,78,27,1,3,455,328,7,1285,1013,86,8,6,1527
chr16.52,266,68,25,2,2,773,484,11,2041,1493,132,34,10,2245
chr16.53,311,70,35,2,5,802,583,16,1831,1368,155,15,6,2081
chr16.54,207,62,16,1,0,487,305,6,903,711,52,7,4,1051
chr16.55,200,55,31,3,3,627,417,5,1042,751,67,10,3,1172
chr16.56,229,57,31,3,2,1100,788,13,1520,1234,131,21,1,1838
chr16.57,492,93,44,1,5,848,616,42,3100,2178,316,59,2,3293
