"","chr"
"1363","chr4.24"
"1364","chr4.25"
"1365","chr4.26"
"1366","chr4.27"
"1367","chr4.28"
"1368","chr4.29"
"1369","chr4.30"
"1370","chr4.31"
"1371","chr4.32"
"1372","chr4.33"
"1373","chr4.34"
"1374","chr4.35"
"1375","chr4.36"
"1376","chr4.37"
"1377","chr4.38"
"1378","chr4.39"
"1379","chr4.42"
"1380","chr4.43"
"1381","chr4.44"
"1382","chr4.45"
"1383","chr4.46"
"1384","chr4.47"
"1385","chr4.48"
"1386","chr4.49"
"1387","chr4.52"
"1388","chr4.53"
"1389","chr4.54"
"1390","chr4.56"
"1391","chr4.58"
"1392","chr4.59"
"1393","chr4.60"
"1394","chr4.61"
"1395","chr4.62"
"1396","chr4.63"
"1397","chr4.64"
"1398","chr4.65"
"1399","chr4.66"
"1400","chr4.68"
"1401","chr4.69"
"1402","chr4.70"
"1403","chr4.71"
"1404","chr4.74"
"1405","chr4.75"
"1406","chr4.76"
"1407","chr4.77"
"1408","chr4.78"
"1409","chr4.79"
"1410","chr4.80"
"1411","chr4.81"
"1412","chr4.82"
"1413","chr4.83"
"1414","chr4.84"
"1415","chr4.85"
"1416","chr4.86"
"1417","chr4.87"
"1418","chr4.88"
"1419","chr4.89"
"1420","chr4.90"
"1421","chr4.92"
"1422","chr4.93"
"1423","chr4.94"
"1424","chr4.95"
"1425","chr4.96"
"1426","chr4.97"
"1427","chr4.98"
"1428","chr4.99"
"1429","chr4.100"
"1430","chr4.102"
"1431","chr4.103"
"1432","chr4.104"
"1433","chr4.105"
"1434","chr4.106"
"1435","chr4.107"
"1436","chr4.108"
"1437","chr4.109"
"1438","chr4.110"
"1439","chr4.111"
"1440","chr4.112"
"1441","chr4.113"
"1442","chr4.114"
"1443","chr4.115"
"1444","chr4.118"
"1445","chr4.119"
"1446","chr4.120"
"1447","chr4.121"
"1448","chr4.122"
"1449","chr4.123"
"1450","chr4.124"
"1451","chr4.125"
"1452","chr4.127"
"1453","chr4.128"
"1454","chr4.129"
"1455","chr4.131"
"1456","chr4.132"
"1457","chr4.133"
"1458","chr4.134"
"1459","chr4.135"
"1460","chr4.136"
"1461","chr4.137"
"1462","chr4.138"
"1463","chr4.139"
"1464","chr4.140"
"1465","chr4.141"
"1466","chr4.144"
"1467","chr4.145"
"1468","chr4.146"
"1469","chr4.147"
"1470","chr4.148"
"1471","chr4.149"
"1472","chr4.150"
"1473","chr4.151"
"1474","chr4.152"
"1475","chr4.153"
"1476","chr4.154"
"1477","chr4.155"
"1478","chr4.156"
"1479","chr4.157"
"1480","chr4.158"
"1481","chr4.159"
"1482","chr4.160"
"1483","chr4.161"
"1484","chr4.162"
"1485","chr4.163"
"1486","chr4.164"
"1487","chr4.165"
"1488","chr4.166"
"1489","chr4.167"
"1490","chr4.168"
"1491","chr4.169"
"1492","chr4.170"
"1493","chr4.171"
"1494","chr4.172"
"1495","chr4.173"
"1496","chr4.174"
"1497","chr4.175"
"1498","chr4.176"
"1499","chr4.177"
"1500","chr4.178"
"1501","chr4.179"
"1502","chr4.180"
"1503","chr4.181"
"1504","chr4.182"
"1505","chr4.183"
"1506","chr4.184"
"1507","chr4.185"
"1508","chr4.187"
"1509","chr5.2"
"1510","chr5.3"
"1511","chr5.4"
"1512","chr5.5"
"1513","chr5.6"
"1514","chr5.7"
"1515","chr5.8"
"1516","chr5.9"
"1517","chr5.10"
"1518","chr5.11"
"1519","chr5.12"
"1520","chr5.13"
"1521","chr5.14"
"1522","chr5.15"
"1523","chr5.16"
"1524","chr5.17"
"1525","chr5.19"
"1526","chr5.20"
"1527","chr5.23"
"1528","chr5.24"
"1529","chr5.25"
"1530","chr5.26"
"1531","chr5.27"
"1532","chr5.28"
"1533","chr5.29"
"1534","chr5.30"
"1535","chr5.31"
"1536","chr5.32"
"1537","chr5.33"
"1538","chr5.34"
"1539","chr5.36"
"1540","chr5.37"
"1541","chr5.39"
"1542","chr5.40"
"1543","chr5.41"
"1544","chr5.42"
"1545","chr5.43"
"1546","chr5.45"
"1547","chr5.46"
"1548","chr5.48"
"1549","chr5.49"
"1550","chr5.50"
"1551","chr5.51"
"1552","chr5.52"
"1553","chr5.53"
"1554","chr5.54"
"1555","chr5.55"
"1556","chr5.57"
"1557","chr5.58"
"1558","chr5.60"
"1559","chr5.61"
"1560","chr5.62"
"1561","chr5.63"
"1562","chr5.64"
"1563","chr5.65"
"1564","chr5.69"
"1565","chr5.70"
"1566","chr5.71"
"1567","chr5.73"
"1568","chr5.74"
"1569","chr5.76"
"1570","chr5.78"
"1571","chr5.79"
"1572","chr5.80"
"1573","chr5.81"
"1574","chr5.82"
"1575","chr5.83"
"1576","chr5.84"
"1577","chr5.85"
"1578","chr5.86"
"1579","chr5.87"
"1580","chr5.88"
"1581","chr5.90"
"1582","chr5.91"
"1583","chr5.92"
"1584","chr5.93"
"1585","chr5.94"
"1586","chr5.95"
"1587","chr5.98"
"1588","chr5.99"
"1589","chr5.100"
"1590","chr5.101"
"1591","chr5.102"
"1592","chr5.103"
"1593","chr5.104"
"1594","chr5.105"
"1595","chr5.106"
"1596","chr5.107"
"1597","chr5.108"
"1598","chr5.109"
"1599","chr5.110"
"1600","chr5.111"
"1601","chr5.112"
"1602","chr5.113"
"1603","chr5.114"
"1604","chr5.115"
"1605","chr5.116"
"1606","chr5.117"
"1607","chr5.118"
"1608","chr5.119"
"1609","chr5.120"
"1610","chr5.121"
"1611","chr5.122"
"1612","chr5.124"
"1613","chr5.125"
"1614","chr5.126"
"1615","chr5.128"
"1616","chr5.129"
"1617","chr5.130"
"1618","chr5.132"
"1619","chr5.133"
"1620","chr5.134"
"1621","chr5.137"
"1622","chr5.138"
"1623","chr5.139"
"1624","chr5.140"
"1625","chr5.141"
"1626","chr5.142"
"1627","chr5.143"
"1628","chr5.144"
"1629","chr5.145"
"1630","chr5.146"
"1631","chr5.147"
"1632","chr5.148"
"1633","chr5.150"
"1634","chr5.151"
"1635","chr5.153"
"1636","chr5.154"
"1637","chr5.155"
"1638","chr5.156"
"1639","chr5.157"
"1640","chr5.158"
"1641","chr5.159"
"1642","chr5.160"
"1643","chr5.161"
"1644","chr5.162"
"1645","chr5.163"
"1646","chr5.164"
"1647","chr5.165"
"1648","chr5.166"
"1649","chr5.167"
"1650","chr5.168"
"1651","chr5.169"
"1652","chr5.170"
"1653","chr5.171"
"1654","chr6.2"
"1655","chr6.3"
"1656","chr6.4"
"1657","chr6.5"
"1658","chr6.6"
"1659","chr6.7"
"1660","chr6.8"
"1661","chr6.9"
"1662","chr6.10"
"1663","chr6.11"
"1664","chr6.12"
"1665","chr6.13"
"1666","chr6.14"
"1667","chr6.15"
"1668","chr6.16"
"1669","chr6.17"
"1670","chr6.18"
"1671","chr6.19"
"1672","chr6.20"
"1673","chr6.21"
"1674","chr6.22"
"1675","chr6.23"
"1676","chr6.24"
"1677","chr6.25"
"1678","chr6.26"
"1679","chr6.28"
"1680","chr6.29"
"1681","chr6.30"
"1682","chr6.31"
"1683","chr6.33"
"1684","chr6.34"
"1685","chr6.35"
"1686","chr6.36"
"1687","chr6.37"
"1688","chr6.38"
"1689","chr6.39"
"1690","chr6.40"
"1691","chr6.41"
"1692","chr6.42"
"1693","chr6.44"
"1694","chr6.45"
"1695","chr6.46"
"1696","chr6.47"
"1697","chr6.48"
"1698","chr6.49"
"1699","chr6.50"
"1700","chr6.51"
"1701","chr6.52"
"1702","chr6.53"
"1703","chr6.54"
"1704","chr6.55"
"1705","chr6.56"
"1706","chr6.57"
"1707","chr6.60"
"1708","chr6.61"
"1709","chr6.63"
"1710","chr6.64"
"1711","chr6.65"
"1712","chr6.66"
"1713","chr6.67"
"1714","chr6.68"
"1715","chr6.69"
"1716","chr6.70"
"1717","chr6.73"
"1718","chr6.74"
"1719","chr6.75"
"1720","chr6.76"
"1721","chr6.77"
"1722","chr6.78"
"1723","chr6.79"
"1724","chr6.80"
"1725","chr6.81"
"1726","chr6.82"
"1727","chr6.85"
"1728","chr6.86"
"1729","chr6.87"
"1730","chr6.88"
"1731","chr6.89"
"1732","chr6.90"
"1733","chr6.91"
"1734","chr6.93"
"1735","chr6.94"
"1736","chr6.95"
"1737","chr6.96"
"1738","chr6.97"
"1739","chr6.98"
"1740","chr6.99"
"1741","chr6.100"
"1742","chr6.101"
"1743","chr6.102"
"1744","chr6.103"
"1745","chr6.104"
"1746","chr6.105"
"1747","chr6.106"
"1748","chr6.107"
"1749","chr6.108"
"1750","chr6.109"
"1751","chr6.110"
"1752","chr6.111"
"1753","chr6.112"
"1754","chr6.113"
"1755","chr6.114"
"1756","chr6.115"
"1757","chr6.116"
"1758","chr6.117"
"1759","chr6.118"
"1760","chr6.119"
"1761","chr6.120"
"1762","chr6.121"
"1763","chr6.122"
"1764","chr6.124"
"1765","chr6.125"
"1766","chr6.126"
"1767","chr6.127"
"1768","chr6.128"
"1769","chr6.129"
"1770","chr6.130"
"1771","chr6.131"
"1772","chr6.132"
"1773","chr6.133"
"1774","chr6.134"
"1775","chr6.135"
"1776","chr6.136"
"1777","chr6.137"
"1778","chr6.138"
"1779","chr6.139"
"1780","chr6.140"
"1781","chr6.141"
"1782","chr6.142"
"1783","chr6.143"
"1784","chr6.144"
"1785","chr6.145"
"1786","chr6.146"
"1787","chr6.147"
"1788","chr6.148"
"1789","chr6.149"
"1790","chr6.150"
"1791","chr6.151"
"1792","chr6.152"
"1793","chr6.153"
"1794","chr6.155"
"1795","chr6.156"
"1796","chr6.157"
"1797","chr6.160"
"1798","chr6.161"
"1799","chr6.162"
"1800","chr6.163"
"1801","chr6.166"
"1802","chr7.2"
"1803","chr7.3"
"1804","chr7.4"
"1805","chr7.8"
"1806","chr7.9"
"1807","chr7.10"
"1808","chr7.11"
"1809","chr7.12"
"1810","chr7.13"
"1811","chr7.14"
"1812","chr7.15"
"1813","chr7.16"
"1814","chr7.17"
"1815","chr7.18"
"1816","chr7.19"
"1817","chr7.20"
"1818","chr7.21"
"1819","chr7.22"
"1820","chr7.23"
"1821","chr7.25"
"1822","chr7.26"
"1823","chr7.27"
"1824","chr7.28"
"1825","chr7.29"
"1826","chr7.30"
"1827","chr7.31"
"1828","chr7.32"
"1829","chr7.34"
"1830","chr7.35"
"1831","chr7.37"
"1832","chr7.38"
"1833","chr7.39"
"1834","chr7.40"
"1835","chr7.41"
"1836","chr7.42"
"1837","chr7.43"
"1838","chr7.44"
"1839","chr7.47"
"1840","chr7.48"
"1841","chr7.49"
"1842","chr7.50"
"1843","chr7.51"
"1844","chr7.52"
"1845","chr7.53"
"1846","chr7.54"
"1847","chr7.55"
"1848","chr7.65"
"1849","chr7.66"
"1850","chr7.67"
"1851","chr7.68"
"1852","chr7.75"
"1853","chr7.77"
"1854","chr7.78"
"1855","chr7.79"
"1856","chr7.80"
"1857","chr7.81"
"1858","chr7.82"
"1859","chr7.83"
"1860","chr7.84"
"1861","chr7.85"
"1862","chr7.86"
"1863","chr7.87"
"1864","chr7.88"
"1865","chr7.90"
"1866","chr7.91"
"1867","chr7.92"
"1868","chr7.93"
"1869","chr7.94"
"1870","chr7.96"
"1871","chr7.101"
"1872","chr7.103"
"1873","chr7.104"
"1874","chr7.105"
"1875","chr7.106"
"1876","chr7.107"
"1877","chr7.108"
"1878","chr7.109"
"1879","chr7.110"
"1880","chr7.111"
"1881","chr7.112"
"1882","chr7.113"
"1883","chr7.114"
"1884","chr7.115"
"1885","chr7.116"
"1886","chr7.117"
"1887","chr7.118"
"1888","chr7.119"
"1889","chr7.120"
"1890","chr7.121"
"1891","chr7.122"
"1892","chr7.123"
"1893","chr7.124"
"1894","chr7.125"
"1895","chr7.127"
"1896","chr7.129"
"1897","chr7.130"
"1898","chr7.131"
"1899","chr7.132"
"1900","chr7.133"
"1901","chr7.134"
"1902","chr7.135"
"1903","chr7.136"
"1904","chr7.139"
"1905","chr7.142"
"1906","chr7.143"
"1907","chr7.148"
"1908","chr7.149"
"1909","chr7.153"
"1910","chr7.154"
"1911","chr7.155"
"1912","chr7.156"
"1913","chr8.2"
"1914","chr8.3"
"1915","chr8.5"
"1916","chr8.6"
"1917","chr8.10"
"1918","chr8.11"
"1919","chr8.14"
"1920","chr8.16"
"1921","chr8.17"
"1922","chr8.18"
"1923","chr8.19"
"1924","chr8.20"
"1925","chr8.21"
"1926","chr8.22"
"1927","chr8.23"
"1928","chr8.24"
"1929","chr8.25"
"1930","chr8.26"
"1931","chr8.27"
"1932","chr8.28"
"1933","chr8.29"
"1934","chr8.30"
"1935","chr8.31"
"1936","chr8.32"
"1937","chr8.33"
"1938","chr8.34"
"1939","chr8.35"
"1940","chr8.36"
"1941","chr8.37"
"1942","chr8.38"
"1943","chr8.39"
"1944","chr8.40"
"1945","chr8.41"
"1946","chr8.42"
"1947","chr8.44"
"1948","chr8.46"
"1949","chr8.47"
"1950","chr8.48"
"1951","chr8.49"
"1952","chr8.50"
"1953","chr8.51"
"1954","chr8.52"
"1955","chr8.53"
"1956","chr8.54"
"1957","chr8.55"
"1958","chr8.56"
"1959","chr8.57"
"1960","chr8.58"
"1961","chr8.59"
"1962","chr8.60"
"1963","chr8.61"
"1964","chr8.62"
"1965","chr8.63"
"1966","chr8.64"
"1967","chr8.65"
"1968","chr8.66"
"1969","chr8.67"
"1970","chr8.68"
"1971","chr8.69"
"1972","chr8.70"
"1973","chr8.71"
"1974","chr8.72"
"1975","chr8.73"
"1976","chr8.74"
"1977","chr8.75"
"1978","chr8.76"
"1979","chr8.77"
"1980","chr8.78"
"1981","chr8.79"
"1982","chr8.80"
"1983","chr8.81"
"1984","chr8.82"
"1985","chr8.84"
"1986","chr8.85"
"1987","chr8.86"
"1988","chr8.87"
"1989","chr8.88"
"1990","chr8.89"
"1991","chr8.90"
"1992","chr8.91"
"1993","chr8.92"
"1994","chr8.93"
"1995","chr8.94"
"1996","chr8.95"
"1997","chr8.96"
"1998","chr8.97"
"1999","chr8.98"
"2000","chr8.99"
"2001","chr8.100"
"2002","chr8.101"
"2003","chr8.102"
"2004","chr8.104"
"2005","chr8.105"
"2006","chr8.106"
"2007","chr8.107"
"2008","chr8.108"
"2009","chr8.109"
"2010","chr8.110"
"2011","chr8.111"
"2012","chr8.112"
"2013","chr8.113"
"2014","chr8.114"
"2015","chr8.115"
"2016","chr8.116"
"2017","chr8.117"
"2018","chr8.118"
"2019","chr8.119"
"2020","chr8.120"
"2021","chr8.121"
"2022","chr8.122"
"2023","chr8.123"
"2024","chr8.124"
"2025","chr8.125"
"2026","chr8.126"
"2027","chr8.127"
"2028","chr8.128"
"2029","chr8.129"
"2030","chr8.130"
"2031","chr8.131"
"2032","chr8.132"
"2033","chr8.133"
"2034","chr8.134"
"2035","chr8.135"
"2036","chr8.136"
"2037","chr8.137"
"2038","chr8.138"
"2039","chr8.140"
"2040","chr8.141"
"2041","chr9.2"
"2042","chr9.3"
"2043","chr9.4"
"2044","chr9.5"
"2045","chr9.6"
"2046","chr9.8"
"2047","chr9.9"
"2048","chr9.11"
"2049","chr9.12"
"2050","chr9.13"
"2051","chr9.14"
"2052","chr9.15"
"2053","chr9.17"
"2054","chr9.18"
"2055","chr9.19"
"2056","chr9.20"
"2057","chr9.21"
"2058","chr9.22"
"2059","chr9.23"
"2060","chr9.24"
"2061","chr9.25"
"2062","chr9.26"
"2063","chr9.27"
"2064","chr9.28"
"2065","chr9.29"
"2066","chr9.30"
"2067","chr9.31"
"2068","chr9.32"
"2069","chr9.33"
"2070","chr9.36"
"2071","chr9.37"
"2072","chr9.38"
"2073","chr9.69"
"2074","chr9.71"
"2075","chr9.72"
"2076","chr9.73"
"2077","chr9.74"
"2078","chr9.75"
"2079","chr9.76"
"2080","chr9.77"
"2081","chr9.78"
"2082","chr9.79"
"2083","chr9.80"
"2084","chr9.81"
"2085","chr9.82"
"2086","chr9.83"
"2087","chr9.85"
"2088","chr9.87"
"2089","chr9.89"
"2090","chr9.91"
"2091","chr9.92"
"2092","chr9.93"
"2093","chr9.95"
"2094","chr9.96"
"2095","chr9.98"
"2096","chr9.99"
"2097","chr9.100"
"2098","chr9.101"
"2099","chr9.102"
"2100","chr9.103"
"2101","chr9.104"
"2102","chr9.105"
"2103","chr9.106"
"2104","chr9.107"
"2105","chr9.108"
"2106","chr9.109"
"2107","chr9.110"
"2108","chr9.111"
"2109","chr9.112"
"2110","chr9.114"
"2111","chr9.115"
"2112","chr9.116"
"2113","chr9.117"
"2114","chr9.118"
"2115","chr9.119"
"2116","chr9.120"
"2117","chr9.121"
"2118","chr9.122"
"2119","chr9.123"
"2120","chr9.124"
"2121","chr9.125"
"2122","chr9.126"
"2123","chr9.127"
"2124","chr9.131"
"2125","chr9.132"
"2126","chr9.133"
"2127","chr9.135"
"2128","chr9.137"
