,MSKCCNo7
chr14.47,83
chr14.48,36
chr14.49,82
chr14.50,47
chr14.51,43
chr14.52,62
chr14.53,45
chr14.54,66
chr14.55,76
chr14.56,47
chr14.57,68
chr14.58,61
chr14.59,62
chr14.60,55
chr14.61,76
chr14.62,56
chr14.63,61
chr14.64,54
chr14.65,57
chr14.66,44
chr14.67,68
chr14.68,39
chr14.69,64
chr14.70,64
chr14.72,51
chr14.73,42
chr14.74,58
chr14.75,52
chr14.77,56
chr14.78,58
chr14.79,56
chr14.80,41
chr14.81,47
chr14.82,39
chr14.83,57
chr14.84,83
chr14.85,60
chr14.86,42
chr14.87,56
chr14.88,50
chr14.89,52
chr14.90,59
chr14.91,35
chr14.92,55
chr14.93,62
chr14.94,79
chr14.95,77
chr14.96,64
chr14.97,61
chr14.98,56
chr14.99,63
chr14.100,75
chr14.101,52
chr14.102,53
chr15.22,70
chr15.23,53
chr15.24,55
chr15.30,52
chr15.32,49
chr15.33,53
chr15.34,49
chr15.35,61
chr15.36,56
chr15.37,51
chr15.39,37
chr15.43,66
chr15.44,58
chr15.45,47
chr15.46,51
chr15.47,73
chr15.48,61
chr15.49,71
chr15.50,76
chr15.51,79
chr15.53,83
chr15.54,50
chr15.55,53
chr15.56,64
chr15.57,45
chr15.58,45
chr15.59,56
chr15.60,61
chr15.61,66
chr15.62,74
chr15.63,67
chr15.64,56
chr15.65,46
chr15.66,47
chr15.67,42
chr15.68,49
chr15.70,60
chr15.73,76
chr15.74,65
chr15.75,74
chr15.76,55
chr15.77,62
chr15.78,52
chr15.83,56
chr15.84,102
chr15.85,67
chr15.86,71
chr15.88,60
chr15.89,44
chr15.90,75
chr15.91,62
chr15.92,82
chr15.93,74
chr15.94,109
chr15.95,79
chr15.96,73
chr15.97,77
chr15.98,60
chr16.2,77
chr16.4,70
chr16.5,79
chr16.6,73
chr16.8,66
chr16.10,76
chr16.11,83
chr16.12,79
chr16.13,61
chr16.14,62
chr16.18,112
chr16.20,77
chr16.24,77
chr16.25,61
chr16.26,74
chr16.27,96
chr16.28,71
chr16.45,59
chr16.46,81
chr16.47,60
chr16.48,75
chr16.49,86
chr16.50,47
chr16.51,67
chr16.52,60
chr16.53,64
chr16.54,59
chr16.55,53
chr16.56,92
chr16.57,121
chr16.58,99
chr16.59,93
chr16.60,76
chr16.61,80
chr16.62,105
chr16.63,59
chr16.64,64
chr16.69,60
chr16.70,57
chr16.71,50
chr16.73,81
chr16.74,61
chr16.75,49
chr16.76,58
chr16.77,55
chr16.78,64
chr16.79,60
chr16.80,63
chr16.81,61
chr16.82,51
chr16.83,65
chr16.84,80
chr17.6,59
chr17.7,71
chr17.9,74
chr17.11,100
chr17.12,116
chr17.13,86
chr17.14,45
chr17.15,59
chr17.18,65
chr17.24,59
chr17.25,66
chr17.29,58
chr17.30,84
chr17.31,87
chr17.33,59
chr17.36,68
chr17.37,68
chr17.44,67
chr17.45,60
chr17.46,67
chr17.47,51
chr17.48,85
chr17.49,88
chr17.50,61
chr17.51,75
chr17.52,78
chr17.53,55
chr17.54,86
chr17.57,84
chr17.59,74
chr17.61,72
chr17.62,66
chr17.64,57
chr17.65,70
chr17.66,49
chr17.67,29
chr17.68,50
chr17.69,60
chr17.70,63
chr17.73,74
chr17.74,54
chr17.76,74
chr18.2,81
chr18.3,72
chr18.4,63
chr18.5,86
chr18.6,59
chr18.7,84
chr18.8,67
chr18.9,41
chr18.10,72
chr18.11,59
chr18.12,73
chr18.14,68
chr18.17,90
chr18.18,82
chr18.19,63
chr18.20,85
chr18.21,77
chr18.22,63
chr18.23,71
chr18.24,62
chr18.25,71
chr18.26,53
chr18.27,73
chr18.28,35
chr18.29,48
chr18.30,53
chr18.31,62
chr18.32,45
chr18.33,54
chr18.34,45
chr18.35,63
chr18.36,47
chr18.37,51
chr18.38,70
chr18.39,53
chr18.40,62
chr18.41,53
chr18.42,60
chr18.43,43
chr18.44,59
chr18.45,56
chr18.46,72
chr18.47,42
chr18.48,78
chr18.50,54
chr18.51,54
chr18.52,55
chr18.53,51
chr18.54,51
chr18.55,84
chr18.56,75
chr18.57,46
chr18.58,59
chr18.59,62
chr18.60,58
chr18.61,58
chr18.62,92
chr18.63,87
chr18.64,49
chr18.65,56
chr18.66,62
chr18.67,55
chr18.68,80
chr18.69,59
chr18.70,47
chr18.71,53
chr18.72,67
chr18.73,53
chr18.74,45
chr19.26,87
chr19.27,89
chr19.28,89
chr19.29,88
chr19.31,75
chr19.32,90
chr19.39,84
chr19.48,62
chr19.49,76
chr19.54,71
chr20.2,39
chr20.3,55
chr20.5,71
chr20.6,65
chr20.7,68
chr20.8,39
chr20.9,45
chr20.10,49
chr20.11,35
chr20.12,41
chr20.13,56
chr20.14,48
chr20.17,52
chr20.18,37
chr20.19,68
chr20.20,49
chr20.21,40
chr20.22,57
chr20.23,67
chr20.24,86
chr20.25,75
chr20.28,73
chr20.29,56
chr20.33,70
chr20.34,57
chr20.35,71
chr20.36,71
chr20.37,91
chr20.38,68
chr20.39,65
chr20.40,61
chr20.41,63
chr20.42,49
chr20.43,67
chr20.44,60
chr20.45,71
chr20.46,56
chr20.47,64
chr20.48,58
chr20.49,57
chr20.50,87
chr20.51,98
chr20.52,102
chr20.53,86
chr20.54,76
chr20.55,58
chr20.56,36
chr20.57,45
chr20.59,53
chr21.14,55
chr21.15,53
chr21.17,85
chr21.18,74
chr21.19,67
chr21.20,71
chr21.21,81
chr21.22,64
chr21.23,53
chr21.24,56
chr21.25,49
chr21.26,49
chr21.27,44
chr21.28,50
chr21.29,55
chr21.30,55
chr21.31,56
chr21.32,67
chr21.33,47
chr21.35,70
chr21.36,50
chr21.37,40
chr21.38,27
chr21.39,51
chr21.41,45
chr21.43,63
chr21.44,39
chr22.16,51
chr22.20,65
chr22.23,47
chr22.24,32
chr22.25,52
chr22.27,46
chr22.30,54
chr22.31,45
chr22.32,53
chr22.33,50
chr22.34,51
chr22.36,66
chr22.37,38
chr22.40,64
chr22.41,58
chr22.42,45
chr22.43,62
chr22.44,45
chr22.45,36
chr22.46,50
